rater_id,movie_id,rating,time
1,0068646,10,1381620027
1,0113277,10,1379466669
2,1798709,10,1389948338
2,0790636,7,1389963947
2,0068646,9,1382460093
3,1798709,9,1388641438
4,0068646,8,1362440416
4,1798709,6,1398043318
5,0068646,9,1364834910
5,1798709,8,1404338202
6,0054953,5,1415080947
6,0120863,1,1415080985
7,2103281,6,1405513709
8,1764234,8,1391206288
8,1790885,9,1377291091
8,2053463,7,1378052353
9,0385002,10,1363061522
9,1220198,10,1367222049
9,1462900,10,1363946231
9,1512685,10,1364661242
9,1631707,10,1367919290
9,1986994,1,1364221582
9,1999995,10,1367919361
10,0065207,3,1414907319
10,0363163,8,1414907270
10,0985699,7,1414907195
11,1253863,9,1396213067
12,3294634,6,1391350541
13,0452623,10,1379973078
14,1980929,7,1405738591
15,0800241,7,1378331028
16,2258858,8,1379717483
17,0390384,7,1393607170
18,0359950,7,1388507932
18,0770828,9,1371414466
18,0831387,7,1400454535
18,1091191,8,1389452836
18,1170358,7,1387155754
18,1210819,4,1372989121
18,1430132,7,1375501484
18,1490017,8,1391996428
18,1535108,6,1376832284
18,1663662,6,1374543862
18,1843866,8,1396710603
18,1872181,8,1399172675
18,2103281,8,1406157109
18,2179136,7,1422229897
18,2209764,5,1423415171
18,2267998,7,1414955883
18,2333784,5,1414955815
18,2334879,5,1376197537
18,2713180,6,1414955947
18,2872732,5,1406505956
19,1210819,7,1373912552
20,0054953,5,1415079143
20,0120863,1,1415079175
